Sample ID	Log-likelihood ratio	Predicted tumor burden	Predicted sample class
Br62_rep10_Dep6_Tu2	2.8225076077950124E-5	0.15	ovarian cancer
Br62_rep6_Dep6_Tu10	6.186028315044513E-5	0.22	breast cancer
Br62_rep2_Dep6_Tu2	3.075587222313522E-5	0.15	ovarian cancer
Br62_rep9_Dep6_Tu5	3.655505441614809E-5	0.17	breast cancer
Br62_rep6_Dep6_Tu40	1.4410415735103223E-4	0.47	breast cancer
Br62_rep4_Dep6_Tu20	8.917349146656004E-5	0.3	breast cancer
Br62_rep9_Dep6_Tu1	2.7824360887108723E-5	0.15	ovarian cancer
Br62_rep1_Dep6_Tu0.3	2.63111367805198E-5	0.13	ovarian cancer
Br62_rep3_Dep6_Tu5	3.962165083912346E-5	0.16	breast cancer
Br62_rep9_Dep6_Tu50	1.4741243462733855E-4	0.52	breast cancer
Br62_rep5_Dep6_Tu30	1.1350452248304303E-4	0.41	breast cancer
Br62_rep9_Dep6_Tu0.5	2.7017921517819815E-5	0.15	ovarian cancer
Br62_rep1_Dep6_Tu20	9.239485819290659E-5	0.3	breast cancer
Br62_rep4_Dep6_Tu2	3.3743348752206136E-5	0.15	ovarian cancer
Br62_rep8_Dep6_Tu3	2.9157575616999448E-5	0.15	breast cancer
Br62_rep2_Dep6_Tu5	3.7208877664864904E-5	0.17	breast cancer
Br62_rep2_Dep6_Tu1	2.2140870682433322E-5	0.15	ovarian cancer
Br62_rep8_Dep6_Tu1	2.655632150517788E-5	0.13	ovarian cancer
Br62_rep10_Dep6_Tu0.1	2.884125894199924E-5	0.15	ovarian cancer
Br62_rep3_Dep6_Tu40	1.4904712305684027E-4	0.47	breast cancer
Br62_rep8_Dep6_Tu0.3	2.28786479204855E-5	0.13	ovarian cancer
Br62_rep4_Dep6_Tu0.5	3.0000661476101243E-5	0.15	ovarian cancer
Br62_rep6_Dep6_Tu50	1.4547067369781745E-4	0.52	breast cancer
Br62_rep7_Dep6_Tu0.1	2.6110325869780476E-5	0.13	ovarian cancer
Br62_rep9_Dep6_Tu30	1.2625530097073117E-4	0.41	breast cancer
Br62_rep6_Dep6_Tu20	9.13071980809534E-5	0.3	breast cancer
Br62_rep5_Dep6_Tu5	3.630000832407387E-5	0.16	breast cancer
Br62_rep4_Dep6_Tu40	1.4653268450507217E-4	0.56	breast cancer
Br62_rep8_Dep6_Tu0.1	2.751073045526119E-5	0.15	ovarian cancer
Br62_rep1_Dep6_Tu40	1.601561978671743E-4	0.47	breast cancer
Br62_rep3_Dep6_Tu30	1.253473321130217E-4	0.41	breast cancer
Br62_rep7_Dep6_Tu0.5	2.8591983531112965E-5	0.15	ovarian cancer
Br62_rep1_Dep6_Tu10	6.114840295487076E-5	0.22	breast cancer
Br62_rep10_Dep6_Tu20	1.0061108398659593E-4	0.3	breast cancer
Br62_rep1_Dep6_Tu5	3.888573975420925E-5	0.17	breast cancer
Br62_rep3_Dep6_Tu50	1.7565369760658416E-4	0.5	breast cancer
Br62_rep1_Dep6_Tu3	2.8969691071629365E-5	0.15	ovarian cancer
Br62_rep7_Dep6_Tu30	1.2166067498259953E-4	0.41	breast cancer
Br62_rep6_Dep6_Tu1	3.130443510929073E-5	0.15	ovarian cancer
Br62_rep1_Dep6_Tu0.5	2.9713862779561914E-5	0.13	ovarian cancer
Br62_rep1_Dep6_Tu0.1	2.7954012037701037E-5	0.15	ovarian cancer
Br62_rep9_Dep6_Tu3	3.169724797578743E-5	0.18	ovarian cancer
Br62_rep5_Dep6_Tu40	1.414697828809011E-4	0.47	breast cancer
Br62_rep10_Dep6_Tu3	2.1958203532202203E-5	0.15	ovarian cancer
Br62_rep2_Dep6_Tu0.3	2.6408611322822254E-5	0.15	ovarian cancer
Br62_rep10_Dep6_Tu40	1.5451944624791873E-4	0.47	breast cancer
Br62_rep3_Dep6_Tu2	3.119311803503929E-5	0.15	ovarian cancer
Br62_rep5_Dep6_Tu1	2.8176019533768418E-5	0.15	ovarian cancer
Br62_rep4_Dep6_Tu1	3.153404395970433E-5	0.15	ovarian cancer
Br62_rep10_Dep6_Tu0.5	3.3668240809550086E-5	0.15	ovarian cancer
Br62_rep5_Dep6_Tu20	9.781025191068402E-5	0.34	breast cancer
Br62_rep6_Dep6_Tu0.3	2.6465930992222447E-5	0.15	ovarian cancer
Br62_rep9_Dep6_Tu0.3	2.2104672956085656E-5	0.13	ovarian cancer
Br62_rep2_Dep6_Tu20	1.0101400632188283E-4	0.34	breast cancer
Br62_rep6_Dep6_Tu0.5	2.995469365124901E-5	0.15	ovarian cancer
Br62_rep8_Dep6_Tu10	6.304556554002704E-5	0.22	breast cancer
Br62_rep2_Dep6_Tu0.1	2.859143259209022E-5	0.15	ovarian cancer
Br62_rep5_Dep6_Tu10	5.480299170222107E-5	0.21	breast cancer
Br62_rep10_Dep6_Tu10	6.147815986609044E-5	0.22	breast cancer
Br62_rep4_Dep6_Tu10	5.7913931026435125E-5	0.22	breast cancer
Br62_rep3_Dep6_Tu0.1	2.8214151707049183E-5	0.15	ovarian cancer
Br62_rep2_Dep6_Tu50	1.670265190372497E-4	0.52	breast cancer
Br62_rep9_Dep6_Tu10	5.612121920636181E-5	0.22	breast cancer
Br62_rep5_Dep6_Tu0.3	2.68908500310705E-5	0.15	ovarian cancer
Br62_rep8_Dep6_Tu50	1.5103859689354453E-4	0.5	breast cancer
Br62_rep4_Dep6_Tu0.3	2.5337341484202984E-5	0.15	ovarian cancer
Br62_rep7_Dep6_Tu1	2.8618420036598635E-5	0.15	ovarian cancer
Br62_rep3_Dep6_Tu0.5	2.696025420357129E-5	0.15	ovarian cancer
Br62_rep7_Dep6_Tu40	1.43756224799841E-4	0.42	breast cancer
Br62_rep2_Dep6_Tu3	3.025947702219041E-5	0.15	ovarian cancer
Br62_rep2_Dep6_Tu0.5	2.5439848879846066E-5	0.13	ovarian cancer
Br62_rep1_Dep6_Tu50	1.6290709712816044E-4	0.52	breast cancer
Br62_rep3_Dep6_Tu3	3.339141131695564E-5	0.15	breast cancer
Br62_rep7_Dep6_Tu3	3.332289345662084E-5	0.15	breast cancer
Br62_rep3_Dep6_Tu0.3	3.144946078405446E-5	0.15	ovarian cancer
Br62_rep8_Dep6_Tu30	1.3493211337298614E-4	0.41	breast cancer
Br62_rep4_Dep6_Tu30	1.1344225993353294E-4	0.41	breast cancer
Br62_rep6_Dep6_Tu3	2.99587202417952E-5	0.18	ovarian cancer
Br62_rep4_Dep6_Tu0.1	2.7408561325733354E-5	0.13	ovarian cancer
Br62_rep8_Dep6_Tu5	3.258720495145356E-5	0.17	ovarian cancer
Br62_rep10_Dep6_Tu50	1.6000143583220713E-4	0.52	breast cancer
Br62_rep10_Dep6_Tu0.3	2.613066489048209E-5	0.15	ovarian cancer
Br62_rep3_Dep6_Tu20	8.9537881849876E-5	0.3	breast cancer
Br62_rep1_Dep6_Tu1	2.8331069267868483E-5	0.15	ovarian cancer
Br62_rep3_Dep6_Tu1	2.824171253534045E-5	0.15	ovarian cancer
Br62_rep9_Dep6_Tu2	2.938198662075189E-5	0.15	ovarian cancer
Br62_rep7_Dep6_Tu50	1.8787981093162953E-4	0.52	breast cancer
Br62_rep7_Dep6_Tu5	3.641979032993891E-5	0.17	breast cancer
Br62_rep8_Dep6_Tu2	2.9683865443151405E-5	0.15	breast cancer
Br62_rep5_Dep6_Tu0.1	2.4886395799187975E-5	0.13	ovarian cancer
Br62_rep6_Dep6_Tu5	3.146317125474729E-5	0.15	breast cancer
Br62_rep9_Dep6_Tu20	8.972155802049376E-5	0.34	breast cancer
Br62_rep2_Dep6_Tu30	1.1657079655052968E-4	0.41	breast cancer
Br62_rep7_Dep6_Tu10	5.239702756934301E-5	0.22	breast cancer
Br62_rep6_Dep6_Tu0.1	2.7996252695387538E-5	0.13	ovarian cancer
Br62_rep5_Dep6_Tu50	1.8713954870310515E-4	0.56	breast cancer
Br62_rep10_Dep6_Tu1	2.542023726288853E-5	0.15	ovarian cancer
Br62_rep1_Dep6_Tu30	1.3193660569785876E-4	0.41	breast cancer
Br62_rep7_Dep6_Tu0.3	2.6420147701572077E-5	0.13	ovarian cancer
Br62_rep2_Dep6_Tu10	5.204079338671789E-5	0.22	breast cancer
Br62_rep9_Dep6_Tu0.1	2.509631502295029E-5	0.15	ovarian cancer
Br62_rep3_Dep6_Tu10	5.9410496784855456E-5	0.22	breast cancer
Br62_rep4_Dep6_Tu5	3.4635888496067534E-5	0.16	breast cancer
Br62_rep8_Dep6_Tu20	9.933983897599402E-5	0.3	breast cancer
Br62_rep1_Dep6_Tu2	3.505660355516789E-5	0.15	ovarian cancer
Br62_rep10_Dep6_Tu5	4.0258394956676915E-5	0.17	breast cancer
Br62_rep10_Dep6_Tu30	1.1325486592923212E-4	0.41	breast cancer
Br62_rep6_Dep6_Tu2	3.193334127523156E-5	0.15	ovarian cancer
Br62_rep4_Dep6_Tu3	3.2154069481247494E-5	0.15	ovarian cancer
Br66_rep4_Dep6_Tu50	2.576585160227214E-4	0.56	breast cancer
Br66_rep3_Dep6_Tu0.5	2.533703128969488E-5	0.15	ovarian cancer
Br66_rep2_Dep6_Tu3	3.41463414090115E-5	0.18	ovarian cancer
Br66_rep6_Dep6_Tu40	2.1853870519773566E-4	0.49	breast cancer
Br66_rep9_Dep6_Tu0.1	2.4063208433821665E-5	0.13	ovarian cancer
Br66_rep9_Dep6_Tu5	4.566634892026449E-5	0.16	breast cancer
Br66_rep10_Dep6_Tu1	3.0904509421641786E-5	0.15	ovarian cancer
Br66_rep6_Dep6_Tu20	1.3101084053572867E-4	0.34	breast cancer
Br66_rep10_Dep6_Tu30	1.7280028889344427E-4	0.42	breast cancer
Br66_rep10_Dep6_Tu5	4.427020325894507E-5	0.15	breast cancer
Br66_rep7_Dep6_Tu1	2.9659046619880958E-5	0.13	ovarian cancer
Br66_rep6_Dep6_Tu0.3	2.5030430684857924E-5	0.15	ovarian cancer
Br66_rep1_Dep6_Tu30	1.734349563125172E-4	0.41	breast cancer
Br66_rep3_Dep6_Tu1	2.7134601806349584E-5	0.15	ovarian cancer
Br66_rep3_Dep6_Tu30	1.80034749762517E-4	0.42	breast cancer
Br66_rep9_Dep6_Tu1	3.310974577075169E-5	0.15	ovarian cancer
Br66_rep9_Dep6_Tu40	2.231955413156141E-4	0.49	breast cancer
Br66_rep5_Dep6_Tu1	3.203756200849704E-5	0.15	ovarian cancer
Br66_rep2_Dep6_Tu5	4.309261700051776E-5	0.15	breast cancer
Br66_rep5_Dep6_Tu30	1.7068539297682785E-4	0.42	breast cancer
